Name,BSE Code,NSE Code,Industry Group,Industry
A C J K Exports,544743,AMIRCHAND,,
Powerica Ltd,544744,POWERICA,,
Highness Microelectronics,544741,,,
Vivid Electromech,,,,
Emiac Technologies,,,,
Sai Parenteral's,544742,SAIPARENT,,
Safety Controls,,,,
E & E Enterprises,501386,,Finance,Other Financial Services
Rajvi Logitrade,511185,,Transport Services,Logistics Solution Provider
Indo Credit Cap.,526887,,Finance,Non Banking Financial Company (NBFC)
Harmony Capital,530055,,Commercial Services & Supplies,Diversified Commercial Services
Axis Solution,511144,,IT - Software,Computers - Software & Consulting
Apollo Ingredie.,503639,,Commercial Services & Supplies,Diversified Commercial Services
Magnus Steel,517320,,Electrical Equipment,Other Electrical Equipment
Onix Solar,513119,,Non - Ferrous Metals,Copper
Steelco Gujarat,500399,,Industrial Products,Iron & Steel Products
Shiva Suitings,521003,,Commercial Services & Supplies,Trading & Distributors
Sanmitra Commerc,512062,,Commercial Services & Supplies,Diversified Commercial Services
New Markets Advi,508867,,IT - Software,Software Products
Purity Flex Pack,523315,,"Paper, Forest & Jute Products",Paper & Paper Products
Kartik Invest.,501151,,Finance,Other Financial Services
Kovalam Investm.,505585,,Commercial Services & Supplies,Diversified Commercial Services
Omansh Enterpri.,538537,,Commercial Services & Supplies,Trading & Distributors
India Radiators,505100,,Auto Components,Auto Components & Equipments
Indo Gulf Inds.,506945,,Chemicals & Petrochemicals,Specialty Chemicals
Oswal Leasing,509099,,Commercial Services & Supplies,Diversified Commercial Services
Mrugesh Trading,512065,,Finance,Non Banking Financial Company (NBFC)
Grand Foundry,513343,GFSTEELS,Industrial Products,Iron & Steel Products
Surbhi Industrie,514260,,Textiles & Apparels,Other Textile Products
Modern Malleable,517336,,Industrial Products,Iron & Steel Products
TMT (I),522171,,Industrial Manufacturing,Industrial Products
Revati Media,524504,,Commercial Services & Supplies,Trading & Distributors
Bijoy Hans,524723,,Commercial Services & Supplies,Trading & Distributors
Shamrock Indl.,531240,,Commercial Services & Supplies,Trading & Distributors
B J Duplex Board,531647,,"Paper, Forest & Jute Products",Paper & Paper Products
Frontline Fin.,531685,,Commercial Services & Supplies,Diversified Commercial Services
Asia Capital,538777,,Finance,Non Banking Financial Company (NBFC)
Chemiesynth(Vapi,539230,,Chemicals & Petrochemicals,Specialty Chemicals
Jyotirgamya Ent.,539246,,Commercial Services & Supplies,Trading & Distributors
Titan Biotech,524717,,Chemicals & Petrochemicals,Specialty Chemicals
Unipro Technolgy,540189,,IT - Services,IT Enabled Services
Parmeshwari Silk,540467,,Textiles & Apparels,Other Textile Products
Shree Salasar,503635,,Finance,Other Financial Services
Alka India,530889,,Textiles & Apparels,Other Textile Products
Hi-Klass Trading,542332,,Finance,Other Financial Services
Gleam Up Jwel Limiteed,542477,,Commercial Services & Supplies,Trading & Distributors
Roopshri Resorts,542599,,Leisure Services,Hotels & Resorts
Ushanti Colour,,UCL,Chemicals & Petrochemicals,Dyes And Pigments
Kalind,526935,,Commercial Services & Supplies,Diversified Commercial Services
National High,543385,NHIT,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
B-Right Real,543543,,Realty,"Residential, Commercial Projects"
Moxsh Overseas,,MOXSH,Other Consumer Services,Education
Maple Inf. Trust,543925,,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
Cube Highways,543899,CUBEINVIT,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
Sustainable Ener,,SEITINVIT,Power,Power Generation
Avax Apparels,544337,,Textiles & Apparels,Other Textile Products
Hannah Joseph,544687,,Healthcare Services,Hospital
Covance Softsol,544361,,IT - Software,Computers - Software & Consulting
Apt Packaging,506979,,Industrial Products,Packaging
Gretex Industrie,,GRETEX,Entertainment,Media & Entertainment
Fundviser Capit.,530197,,Finance,Investment Company
Stellant Secu.,526071,,Finance,Other Financial Services
Anzen IYEP Trust,543655,ANZEN,Power,Power - Transmission
CCL Products,519600,CCL,Agricultural Food & other Products,Tea & Coffee
Accent Microcell,,ACCENTMIC,Pharmaceuticals & Biotechnology,Pharmaceuticals
Sizemasters Tech,513496,,Non - Ferrous Metals,Zinc
Ecoboard Inds.,523732,,Consumer Durables,Plywood Boards/ Laminates
M B Agro Prod.,,MBAPL,Fertilizers & Agrochemicals,Fertilizers
Vilin Bio Med,,VILINBIO,Pharmaceuticals & Biotechnology,Pharmaceuticals
Yaap Digital,,YAAP,Media,Advertising & Media Agencies
Aar Shyam (I),542377,,Finance,Non Banking Financial Company (NBFC)
Guj. Inject(Ker),524238,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Focus Business,543312,,IT - Software,Computers - Software & Consulting
Speciality Medi.,544738,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Sancode Tech.,543897,,IT - Services,IT Enabled Services
V R Woodart,523888,,Auto Components,Tyres & Rubber Products
Mega Flex Plast.,,MEGAFLEX,Industrial Products,Packaging
Hoac Foods,,HOACFOODS,Food Products,Other Food Products
Prizor Viztech,,PRIZOR,Industrial Manufacturing,Industrial Products
Divine Hira Jew.,,DIVINEHIRA,Consumer Durables,"Gems, Jewellery And Watches"
Novus Loyalty,544735,,Media,Web based media and service
Excellent Wires,,EXCELLENT,Industrial Products,Other Industrial Products
EMA India,522027,,Industrial Manufacturing,Industrial Products
Rex Pipes&Cables,,REXPIPES,Industrial Products,Plastic Products - Industrial
Aayush Art,540718,,Textiles & Apparels,Other Textile Products
Rajputana Stain.,544731,RSL,Industrial Products,Iron & Steel Products
PropsharePlatina,544295,,,
Integ. Proteins,519606,,Agricultural Food & other Products,Edible Oil
Hitachi Energy,543187,POWERINDIA,Electrical Equipment,Heavy Electrical Equipment
Elfin Agro India,544724,,Food Products,Other Food Products
Anand Rathi Wea.,543415,ANANDRATHI,Capital Markets,Financial Products Distributor
Axentra Corp,511634,,Construction,Civil Construction
Unihealth Hosp,,UNIHEALTH,Healthcare Services,Hospital
Seshachal Tech.,531794,,IT - Software,Software Products
Bliss GVS Pharma,506197,BLISSGVS,Pharmaceuticals & Biotechnology,Pharmaceuticals
PropshareTitania,544462,,Realty,Real Estate Investment Trusts (REITs)
Simandhar Impex,544662,,Consumer Durables,"Gems, Jewellery And Watches"
Vertis Infra.,,VERTIS,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
KMG Milk Food,519415,,Food Products,Packaged Foods
Mahickra Chem.,,MAHICKRA,Chemicals & Petrochemicals,Dyes And Pigments
Altius Telecom,543225,,Telecom - Services,Telecom - Infrastructure
Futuristic Sec.,523113,,Finance,Non Banking Financial Company (NBFC)
Rapid Multimodal,544237,,Transport Services,Logistics Solution Provider
Divine Power,,DPEL,Industrial Products,Cables - Electricals
KMS Medisurgi,540468,,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Maruti Interior,543464,,Consumer Durables,Houseware
Venus Remedies,526953,VENUSREM,Pharmaceuticals & Biotechnology,Pharmaceuticals
Godawari Power,532734,GPIL,Industrial Products,Iron & Steel Products
Prime Focus,532748,PFOCUS,Entertainment,Media & Entertainment
Iykot Hitech,522245,,Industrial Manufacturing,Industrial Products
Manilam Industries,,MANILAM,Consumer Durables,Plywood Boards/ Laminates
Omnitex Industri,514324,,Textiles & Apparels,Other Textile Products
GRE Renew,544682,,Construction,Civil Construction
Shankara Buildpro,544517,BUILDPRO,Retailing,Speciality Retail
Indus Inf. Trust,544137,INDUSINVIT,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
Belrise Industri,544405,BELRISE,Auto Components,Auto Components & Equipments
Sedemac Mechatro,544723,SEDEMAC,Auto Components,Auto Components & Equipments
ANB Metal,,AMCL,Industrial Products,"Aluminium, Copper & Zinc Products"
Aptus Pharma,544529,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Lupin,500257,LUPIN,Pharmaceuticals & Biotechnology,Pharmaceuticals
D & H India,517514,,Industrial Manufacturing,Industrial Products
Dharni Capital,543753,,Capital Markets,Financial Products Distributor
Typhoon Fin Ser,539468,,Finance,Non Banking Financial Company (NBFC)
Satani Bearings,505703,,Industrial Manufacturing,Industrial Products
Atlanta Electric,544527,ATLANTAELE,Electrical Equipment,Heavy Electrical Equipment
Fractal Industries,544707,,Textiles & Apparels,Garments & Apparels
Pramara Promotio,,PRAMARA,Media,Advertising & Media Agencies
Aanchal Ispat,538812,,Industrial Products,Iron & Steel Products
Ather Energy,544397,ATHERENERG,Automobiles,2/3 Wheelers
Ambassador Intra,542524,,Commercial Services & Supplies,Trading & Distributors
Milton Industri.,,MILTON,Consumer Durables,Plywood Boards/ Laminates
G-Tech Info.,532139,,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
Harig Crankshaft,500178,,Auto Components,Auto Components & Equipments
Sobhagya Mercant,512014,,Commercial Services & Supplies,Diversified Commercial Services
Strides Pharma,532531,STAR,Pharmaceuticals & Biotechnology,Pharmaceuticals
Bhavik Enterpris,544551,,Chemicals & Petrochemicals,Trading - Chemicals
Park Medi World,544645,PARKHOSPS,Healthcare Services,Hospital
IndiGrid Trust,540565,INDIGRID,Power,Power - Transmission
Cospower Engine.,543172,,Industrial Manufacturing,Industrial Products
Titan Company,500114,TITAN,Consumer Durables,"Gems, Jewellery And Watches"
Callista Indus.,539335,,Commercial Services & Supplies,Trading & Distributors
Norben Tea,519528,NORBTEAEXP,Agricultural Food & other Products,Tea & Coffee
Gautam Exim,540613,,Commercial Services & Supplies,Trading & Distributors
Kapston Services,,KAPSTON,Commercial Services & Supplies,Diversified Commercial Services
Retaggio Indust.,544391,,Consumer Durables,"Gems, Jewellery And Watches"
Marico,531642,MARICO,Agricultural Food & other Products,Edible Oil
GE Shipping Co,500620,GESHIP,Transport Services,Shipping
Ratnabhumi Dev.,540796,,Realty,"Residential, Commercial Projects"
TD Power Systems,533553,TDPOWERSYS,Electrical Equipment,Heavy Electrical Equipment
Cummins India,500480,CUMMINSIND,Industrial Products,"Compressors, Pumps & Diesel Engines"
Titan Securities,530045,,Finance,Non Banking Financial Company (NBFC)
Natl. Aluminium,532234,NATIONALUM,Non - Ferrous Metals,Aluminium
Carnation Inds.,530609,,Industrial Products,Other Industrial Products
Bindal Exports L,540148,,Consumer Durables,"Gems, Jewellery And Watches"
NDR INVIT Trust,,NDRINVIT,Commercial Services & Supplies,Diversified Commercial Services
Aeroflex,543972,AEROFLEX,Industrial Products,Iron & Steel Products
SBC Exports,542725,SBC,Textiles & Apparels,Garments & Apparels
Ramgopal Polytex,514223,RAMGOPOLY,Commercial Services & Supplies,Trading & Distributors
Emcure Pharma,544210,EMCURE,Pharmaceuticals & Biotechnology,Pharmaceuticals
Rukmani Devi Gar,544552,,Food Products,Other Food Products
Photon Capital,509084,,Commercial Services & Supplies,Diversified Commercial Services
Pune e,544141,,Capital Markets,Stockbroking & Allied
AGI Infra,539042,AGIIL,Realty,"Residential, Commercial Projects"
Shreeji Global,,SHETHJI,Agricultural Food & other Products,Other Agricultural Products
SPA CAPT SER,542376,,Finance,Other Financial Services
Central Mine Pla,544739,CMPDI,Construction,Civil Construction
Arcee Industries,520121,,Industrial Products,Plastic Products - Industrial
KSH Internationa,544664,KSHINTL,Industrial Products,Cables - Electricals
Yuranus Infrast.,536846,,Construction,Civil Construction
Clenon Enterpri,517564,,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
Centum Electron,517544,CENTUM,Industrial Manufacturing,Industrial Products
GSP Crop Science,544733,GSPCROP,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Sharp Chucks and,,SCML,Industrial Products,Castings & Forgings
Jain Resource,544537,JAINREC,Diversified Metals,Diversified Metals
Agribio Spirits,539546,,Beverages,Breweries & Distilleries
AXISCADES Tech.,532395,AXISCADES,Aerospace & Defense,Aerospace & Defense
Galaxy Agrico,531911,,Industrial Manufacturing,Industrial Products
Laurus Labs,540222,LAURUSLABS,Pharmaceuticals & Biotechnology,Pharmaceuticals
Aditya Infotech,544466,CPPLUS,Industrial Manufacturing,Industrial Products
Striders Impex,,STRIDERS,Consumer Durables,Leisure Products
Jattashankar Ind,514318,,Textiles & Apparels,Other Textile Products
Classic Filament,540310,,Textiles & Apparels,Other Textile Products
Shiv Aum Steels,,SHIVAUM,Commercial Services & Supplies,Trading & Distributors
Magson Retail,,MAGSON,Food Products,Packaged Foods
Unisem Agritech,544648,,Agricultural Food & other Products,Other Agricultural Products
Pradeep Metals,513532,,Auto Components,Auto Components & Equipments
Spice IslandsInd,526827,,Consumer Durables,"Gems, Jewellery And Watches"
Ace Men,539661,,Retailing,Distributors
Glenmark Pharma.,532296,GLENMARK,Pharmaceuticals & Biotechnology,Pharmaceuticals
Canara HSBC,544583,CANHLIFE,Insurance,Life Insurance
Stanbik Agro,544659,,Agricultural Food & other Products,Other Agricultural Products
Nxt-Infra Trust,,NXT-INFRA,Construction,Civil Construction
Steelcast,513517,STEELCAS,Industrial Products,Castings & Forgings
MTAR Technologie,543270,MTARTECH,Aerospace & Defense,Aerospace & Defense
Shadowfax Technologies,544685,SHADOWFAX,Transport Services,Logistics Solution Provider
Accord Transformer,544710,,Electrical Equipment,Heavy Electrical Equipment
Kirloskar Oil,533293,KIRLOSENG,Industrial Products,"Compressors, Pumps & Diesel Engines"
EPW India,,EPWINDIA,IT - Hardware,Computers Hardware & Equipments
Narmada Agrobase,543643,NARMADA,Food Products,Animal Feed
Filtron Engineer,531191,,Commercial Services & Supplies,Trading & Distributors
RNIT AI Solution,517286,,Auto Components,Auto Components & Equipments
Bansisons Tea,519353,,Agricultural Food & other Products,Tea & Coffee
Shivam Chemicals,544165,,Food Products,Animal Feed
Mindspace Busine,543217,MINDSPACE,Realty,Real Estate Investment Trusts (REITs)
Piramal Finance.,544597,PIRAMALFIN,Finance,Housing Finance Company
Ghushine Fintrra,539864,,Textiles & Apparels,Other Textile Products
Avi Ansh,,AVIANSH,Textiles & Apparels,Other Textile Products
S K Internation.,542728,,Consumer Durables,"Gems, Jewellery And Watches"
Multi Comm. Exc.,534091,MCX,Capital Markets,Exchange and Data Platform
Apollo Hospitals,508869,APOLLOHOSP,Healthcare Services,Hospital
Kesar India,543542,,Realty,"Residential, Commercial Projects"
Khandelwal Extra,519064,,Agricultural Food & other Products,Other Agricultural Products
Jay Ambe Super.,544514,,Retailing,Diversified Retail
Vijaypd Ceutical,,VIJAYPD,Electrical Equipment,Heavy Electrical Equipment
Aster DM Health.,540975,ASTERDM,Healthcare Services,Hospital
Trustedgecapital,532056,,Finance,Investment Company
Bridge Securitie,530249,,Finance,Other Financial Services
Jindal Steel,532286,JINDALSTEL,Ferrous Metals,Iron & Steel
Apsis Aerocom,,APSISAERO,Aerospace & Defense,Aerospace & Defense
Arfin India,539151,ARFIN,Non - Ferrous Metals,Aluminium
Vardhman Textile,502986,VTL,Textiles & Apparels,Other Textile Products
Sheetal Univer.,,SHEETAL,Agricultural Food & other Products,Other Agricultural Products
Anupam Rasayan,543275,ANURAS,Chemicals & Petrochemicals,Specialty Chemicals
SMS Pharma.,532815,SMSPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals
SEAMEC Ltd,526807,SEAMECLTD,Transport Services,Shipping
Pashupati Cotsp.,544448,PASHUPATI,Textiles & Apparels,Other Textile Products
Tata Steel,500470,TATASTEEL,Ferrous Metals,Iron & Steel
TIPCO Engineering,544740,,Industrial Manufacturing,Industrial Products
Active Infra.,,ACTIVEINFR,Realty,"Residential, Commercial Projects"
G M D C,532181,GMDCLTD,Minerals & Mining,Industrial Minerals
J B Chemicals &,506943,JBCHEPHARM,Pharmaceuticals & Biotechnology,Pharmaceuticals
Parth Electrical,,PARTH,Electrical Equipment,Other Electrical Equipment
Nexus Select,543913,NXST,Realty,Real Estate Investment Trusts (REITs)
NLC India,513683,NLCINDIA,Power,Power Generation
Vedanta,500295,VEDL,Diversified Metals,Diversified Metals
Arihant Academy,,ARIHANTACA,Other Consumer Services,Education
Sakar Healthcare,,SAKAR,Pharmaceuticals & Biotechnology,Pharmaceuticals
Sai Life,544306,SAILIFE,Pharmaceuticals & Biotechnology,Pharmaceuticals
Encompass Design,,ENCOMPAS,Commercial Services & Supplies,Trading & Distributors
Bright Outdoor,543831,,Media,Advertising & Media Agencies
Lenskart Solut.,544600,LENSKART,Retailing,Speciality Retail
Omnitech Engg.,544720,OMNI,Industrial Manufacturing,Industrial Products
Hindalco Inds.,500440,HINDALCO,Non - Ferrous Metals,Aluminium
ICICI AMC,544658,ICICIAMC,Capital Markets,Asset Management Company
Torrent Pharma.,500420,TORNTPHARM,Pharmaceuticals & Biotechnology,Pharmaceuticals
Voler Car,,VOLERCAR,Transport Services,Road Transport
Bharat Electron,500049,BEL,Aerospace & Defense,Aerospace & Defense
A.K.Capital Serv,530499,,Finance,Non Banking Financial Company (NBFC)
GNG Electronics,544455,EBGNG,IT - Hardware,Computers Hardware & Equipments
Sh. Ajit Pulp,538795,,"Paper, Forest & Jute Products",Paper & Paper Products
Senores Pharma.,544319,SENORES,Pharmaceuticals & Biotechnology,Pharmaceuticals
Hypersoft Tech.,539724,,IT - Software,Computers - Software & Consulting
Sunlite Recycli.,,SUNLITE,Industrial Products,"Aluminium, Copper & Zinc Products"
Candour Techtex,522292,,Industrial Products,Plastic Products - Industrial
Viceroy Hotels,523796,VHLTD,Leisure Services,Hotels & Resorts
Sansera Enginee.,543358,SANSERA,Auto Components,Auto Components & Equipments
Anantam Highways,544579,ANANTAM,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity"
Travel Food,544443,TRAVELFOOD,Leisure Services,Restaurants
P. H. Capital,500143,,Finance,Investment Company
Rhetan TMT Ltd,543590,RHETAN,Industrial Products,Iron & Steel Products
Mangalam World.,,MWL,Metals & Minerals Trading,Trading - Metals
Gaekwar Mills,502850,,Textiles & Apparels,Other Textile Products
BSE,,BSE,Capital Markets,Exchange and Data Platform
JSW Steel,500228,JSWSTEEL,Ferrous Metals,Iron & Steel
Committed Cargo,,COMMITTED,Transport Services,Logistics Solution Provider
Corona Remedies,544644,CORONA,Pharmaceuticals & Biotechnology,Pharmaceuticals
Accretion Nutraveda,544694,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Fujiyama Power,544613,UTLSOLAR,Electrical Equipment,Other Electrical Equipment
Vidya Wires,544633,VIDYAWIRES,Industrial Products,"Aluminium, Copper & Zinc Products"
Sattrix Infor.,544189,,IT - Services,IT Enabled Services
Federal Bank,500469,FEDERALBNK,Banks,Private Sector Bank
Lumax Auto Tech.,532796,LUMAXTECH,Auto Components,Auto Components & Equipments
GE Vernova T&D,522275,GVT&D,Electrical Equipment,Heavy Electrical Equipment
Aether Industri.,543534,AETHER,Chemicals & Petrochemicals,Specialty Chemicals
Tenneco Clean,544612,TENNIND,Auto Components,Auto Components & Equipments
SMT Engineering,538563,,Commercial Services & Supplies,Trading & Distributors
Nutricircle,530219,,Food Products,Other Food Products
Syrma SGS Tech.,543573,SYRMA,Industrial Manufacturing,Industrial Products
Adani Power,533096,ADANIPOWER,Power,Integrated Power Utilities
Bhanderi Infra.,538576,,Realty,"Residential, Commercial Projects"
Emmvee Photovol.,544608,EMMVEE,Electrical Equipment,Other Electrical Equipment
Inv.& Prec.Cast.,504786,,Industrial Products,Castings & Forgings
Eforu Entertainment,531190,,Commercial Services & Supplies,Trading & Distributors
Aditya AMC,543374,ABSLAMC,Capital Markets,Asset Management Company
Osiajee Texfab,540198,,Textiles & Apparels,Other Textile Products
Mahamaya Steel,513554,MAHASTEEL,Industrial Products,Iron & Steel Products
Bhaskar Agrochem,524534,,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Rubicon Research,544578,RUBICON,Pharmaceuticals & Biotechnology,Pharmaceuticals
Leela Palaces Hotels,544408,THELEELA,Leisure Services,Hotels & Resorts
Krishana Phosch.,,KRISHANA,Fertilizers & Agrochemicals,Fertilizers
Oswal Overseas,531065,,Agricultural Food & other Products,Sugar
Gokul Agro,539725,GOKULAGRO,Agricultural Food & other Products,Edible Oil
Indian Bank,532814,INDIANB,Banks,Public Sector Bank
Knowledge Realty,544481,KRT,Realty,Real Estate Investment Trusts (REITs)
Sinnar Bidi Udy.,509887,,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
Atishay,538713,,IT - Software,Software Products
Sawaliya Food,,SAWALIYA,Agricultural Food & other Products,Other Agricultural Products
Savera Industrie,512634,,Leisure Services,Hotels & Resorts
Transteel Seatin,,TRANSTEEL,Consumer Durables,"Furniture, Home Furnishing"
Sun Pharma.Inds.,524715,SUNPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals
Brahmaputra Inf.,535693,,Construction,Civil Construction
Fredun Pharma,539730,,Pharmaceuticals & Biotechnology,Pharmaceuticals
T N Merc. Bank,543596,TMB,Banks,Private Sector Bank
Siddhika Coatins,,SIDDHIKA,Consumer Durables,Paints
Grasim Inds,500300,GRASIM,Cement & Cement Products,Cement & Cement Products
Bharat Textiles,531029,,Commercial Services & Supplies,Trading & Distributors
Silgo Retail,,SILGO,Consumer Durables,"Gems, Jewellery And Watches"
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,Pharmaceuticals
TVS Holdings,520056,TVSHLTD,Finance,Investment Company
South West Pinn.,543986,SOUTHWEST,Commercial Services & Supplies,Diversified Commercial Services
Happy Forgings,544057,HAPPYFORGE,Industrial Products,Castings & Forgings
SER Industries,507984,,Transport Services,Road Transport
OneClick Logisti,,OLIL,Transport Services,Logistics Solution Provider
Fractal Analyt.,544700,FRACTAL,IT - Software,Computers - Software & Consulting
Intl. Data Mgt.,517044,,Commercial Services & Supplies,Consulting Services
Avishkar Infra,508929,,Realty,"Residential, Commercial Projects"
Lloyds Metals,512455,LLOYDSME,Minerals & Mining,Industrial Minerals
Goldkart Jewels,,GOLDKART,Consumer Durables,"Gems, Jewellery And Watches"
Schneider Elect.,534139,SCHNEIDER,Electrical Equipment,Heavy Electrical Equipment
Shriram Pistons,544344,SHRIPISTON,Auto Components,Auto Components & Equipments
Dhariwalcorp,,DHARIWAL,Chemicals & Petrochemicals,Trading - Chemicals
Dr Reddy's Labs,500124,DRREDDY,Pharmaceuticals & Biotechnology,Pharmaceuticals
Nestle India,500790,NESTLEIND,Food Products,Packaged Foods
Srinibas Pradhan,,SPCON,Construction,Civil Construction
Ganon Products,512443,,Commercial Services & Supplies,Trading & Distributors
Nukleus Office,544370,,Commercial Services & Supplies,Diversified Commercial Services
Bizotic Commer.,543926,,Textiles & Apparels,Garments & Apparels
Granules India,532482,GRANULES,Pharmaceuticals & Biotechnology,Pharmaceuticals
Taparia Tools,505685,,Industrial Products,Iron & Steel Products
Privi Speci.,530117,PRIVISCL,Chemicals & Petrochemicals,Specialty Chemicals
Amit Securities,531557,,Finance,Non Banking Financial Company (NBFC)
Parin Enterpris.,,PARIN,Consumer Durables,"Furniture, Home Furnishing"
TVS Motor Co.,532343,TVSMOTOR,Automobiles,2/3 Wheelers
Avasara Finance,511730,,Finance,Non Banking Financial Company (NBFC)
Shri Venkatesh,543373,,Agricultural Food & other Products,Edible Oil
Digilogic Systems,544684,,Aerospace & Defense,Aerospace & Defense
Welspun Corp,532144,WELCORP,Industrial Products,Iron & Steel Products
SPEB Adhesives,,SPEB,Chemicals & Petrochemicals,Specialty Chemicals
Renol Polychem,,RNPL,Chemicals & Petrochemicals,Specialty Chemicals
Brookfield India,543261,BIRET,Realty,Real Estate Investment Trusts (REITs)
Rama Telecom,,RTL,Telecom - Services,Telecom - Infrastructure
KSR Footwear,544615,KSR,Commercial Services & Supplies,Trading & Distributors
Ashwini Contain.,,ASHWINI,Transport Services,Road Transport
Billionbrains,544603,GROWW,Capital Markets,Stockbroking & Allied
Classic Leasing,540481,,Finance,Other Financial Services
Rossell Techsys,544294,ROSSTECH,Aerospace & Defense,Aerospace & Defense
Auro Labs.,530233,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Rapicut Carbides,500360,,Industrial Manufacturing,Industrial Products
B. D. Industries,544468,,Industrial Products,Plastic Products - Industrial
Adani Ports,532921,ADANIPORTS,Transport Infrastructure,Port & Port services
Kasturi Metal,544688,,Industrial Products,Iron & Steel Products
Shrem InvIT,,SHREMINVIT,Construction,Civil Construction
Praruh Tech,544538,,IT - Services,IT Enabled Services
ACME Solar Hold.,544283,ACMESOLAR,Power,Power Generation
Bharat Forge,500493,BHARATFORG,Auto Components,Auto Components & Equipments
Axis Bank,532215,AXISBANK,Banks,Private Sector Bank
Nephrocare Health Services,544647,NEPHROPLUS,Healthcare Services,Healthcare Service Provider
Kingfa Science,524019,KINGFA,Industrial Products,Plastic Products - Industrial
Clean Max Enviro,544717,CLEANMAX,Power,Power Generation
Vishnu Chemicals,516072,VISHNU,Chemicals & Petrochemicals,Specialty Chemicals
Navin Fluo.Intl.,532504,NAVINFLUOR,Chemicals & Petrochemicals,Specialty Chemicals
Manav Infra,,MANAV,Construction,Civil Construction
Sunita Tools Ltd,544001,,Industrial Manufacturing,Industrial Products
Gujarat Kidney,544666,GKSL,Healthcare Services,Hospital
Thangamayil Jew.,533158,THANGAMAYL,Consumer Durables,"Gems, Jewellery And Watches"
Golkunda Diamond,523676,,Consumer Durables,"Gems, Jewellery And Watches"
Cargotrans Marit,543618,,Transport Services,Logistics Solution Provider
Can Fin Homes,511196,CANFINHOME,Finance,Housing Finance Company
Indus Towers,534816,INDUSTOWER,Telecom - Services,Telecom - Infrastructure
Prec. Wires (I),523539,PRECWIRE,Industrial Products,"Aluminium, Copper & Zinc Products"
Britannia Inds.,500825,BRITANNIA,Food Products,Packaged Foods
Sarup Industries,514412,,Consumer Durables,Footwear
Ipca Labs.,524494,IPCALAB,Pharmaceuticals & Biotechnology,Pharmaceuticals
Data Pattern,543428,DATAPATTNS,Aerospace & Defense,Aerospace & Defense
KRN Heat Exchan,544263,KRN,Industrial Products,Other Industrial Products
Bacil Pharma,524516,,Pharmaceuticals & Biotechnology,Pharmaceuticals
Ecoline Exim,,ECOLINE,Industrial Products,Packaging
Khemani Distrib.,539788,,Retailing,Distributors
Jayaswal Neco,522285,JAYNECOIND,Industrial Products,Iron & Steel Products
Tata Capital,544574,TATACAP,Finance,Non Banking Financial Company (NBFC)
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals & Biotechnology,Pharmaceuticals
Coromandel Engg.,533167,,Realty,"Residential, Commercial Projects"
Mother Nutri,544623,,Food Products,Other Food Products
Reliance Industries,500325,RELIANCE,Petroleum Products,Refineries & Marketing
Ascensive Educa.,543443,,Other Consumer Services,Education
Royal Arc Ele.,,ROYALARC,Industrial Products,Electrodes & Refractories
Embassy Off.REIT,542602,EMBASSY,Realty,Real Estate Investment Trusts (REITs)
AU Small Finance,540611,AUBANK,Banks,Other Bank
Biopol Chemicals,,BIOPOL,Chemicals & Petrochemicals,Specialty Chemicals
Indo SMC,544681,,Electrical Equipment,Other Electrical Equipment
Sharat Industrie,519397,,Food Products,Seafood
Current Infra.,,CURRENT,Construction,Civil Construction
Nirlon,500307,,Commercial Services & Supplies,Diversified Commercial Services
Apar Inds.,532259,APARINDS,Electrical Equipment,Other Electrical Equipment
Meghna Infracon,538668,,Realty,"Residential, Commercial Projects"
Transglobe Foods,519367,,Beverages,Other Beverages
Marc Technocrats,,MARC,Commercial Services & Supplies,Consulting Services
O N G C,500312,ONGC,Oil,Oil Exploration & Production
Indian Metals,533047,IMFA,Ferrous Metals,Ferro & Silica Manganese
Avana Electrosystems,,AVANA,Electrical Equipment,Heavy Electrical Equipment
M P K Steels,544553,,Industrial Products,Iron & Steel Products
PVV Infra Ltd,536659,,Construction,Civil Construction
Tata Consumer,500800,TATACONSUM,Agricultural Food & other Products,Tea & Coffee
Achyut Healthcar,543499,,Pharmaceuticals & Biotechnology,Pharmaceuticals
